SNO,City,Cite,Site_Code,State,Query ID,,,Date,,pm2.5,pm10,AT,BP,SR,RH,WD,RF,NO,Nox,NO2,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene
71,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180209,,,09-Feb-2018,,47.73,181.72,,762.76,,,138.76,,15.38,33.0,18.56,12.55,11.9,1.0,56.25,1.28,,0.4,0.8,0.2
72,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180210,,,10-Feb-2018,,44.88,160.95,,763.89,,,76.47,,6.88,21.21,14.33,8.71,10.69,0.68,86.96,1.06,,0.14,0.23,0.09
73,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180211,,,11-Feb-2018,,40.92,167.25,,763.2,,,101.46,,6.57,16.47,9.91,7.9,11.35,0.52,92.38,0.73,,0.07,0.1,0.05
74,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180212,,,12-Feb-2018,,39.62,126.49,,764.47,,,156.46,,8.29,25.44,17.15,7.38,9.49,0.76,59.2,0.93,,0.23,0.42,0.13
75,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180213,,,13-Feb-2018,,44.89,137.81,,768.45,,,129.35,,7.89,27.92,20.03,5.16,5.17,0.66,57.49,0.97,,0.25,0.46,0.14
76,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180214,,,14-Feb-2018,,37.22,121.07,,769.15,,,162.16,,9.66,29.44,19.79,6.43,7.05,0.78,51.65,0.94,,0.53,0.95,0.25
77,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180215,,,15-Feb-2018,,51.89,153.65,,767.8,,,209.98,,15.45,26.96,11.71,11.36,8.53,0.99,35.89,1.74,,0.8,1.58,0.42
78,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180216,,,16-Feb-2018,,56.55,165.84,,766.16,,,135.77,,24.39,40.79,23.92,10.87,6.46,1.3,26.32,2.24,,1.03,2.09,0.55
79,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180217,,,17-Feb-2018,,68.96,259.51,,761.97,,,237.89,,21.41,55.85,35.17,4.08,10.17,1.19,32.01,4.44,,1.49,2.89,0.98
80,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180218,,,18-Feb-2018,,70.5,289.54,,761.91,,,107.41,,9.14,32.26,23.12,3.85,9.44,0.59,55.23,1.23,,0.48,0.92,0.26
